"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Jan 14 23:28:43 GMT 2023","Sat Jan 14 23:28:44 GMT 2023","554","","sample-app/ui/all.elements.visible.test.ts","On page are visible:","","","[name=""UserName""] input",""
"passed","Sat Jan 14 23:28:44 GMT 2023","Sat Jan 14 23:28:45 GMT 2023","565","","specs.ui-testing-playground/find.text.out.of.tags.test.ts","","","","find an element with Welcome text",""
"failed","Sat Jan 14 23:28:45 GMT 2023","Sat Jan 14 23:28:46 GMT 2023","1111","","specs.ui-testing-playground/wait.for.ajax.test.ts","","","","waiting for an element to show up after AJAX",""
"passed","Sat Jan 14 23:28:45 GMT 2023","Sat Jan 14 23:28:46 GMT 2023","834","","specs.ui-testing-playground/visibility.buttons.test.ts","","","","must determine hidden buttons",""
"passed","Sat Jan 14 23:28:43 GMT 2023","Sat Jan 14 23:28:43 GMT 2023","688","","specs.ui-testing-playground/check.click.test.ts","","","","it is able to click the addToCart",""
"passed","Sat Jan 14 23:28:40 GMT 2023","Sat Jan 14 23:28:41 GMT 2023","879","","sample-app/functional/negative.cases/incorrect.password.case.test.ts","","","","demonstrating error when password is incorrect, login correct",""
"passed","Sat Jan 14 23:28:45 GMT 2023","Sat Jan 14 23:28:45 GMT 2023","615","","specs.ui-testing-playground/scroll.to.button.test.ts","","","","the addToCart name is changing",""
"passed","Sat Jan 14 23:28:41 GMT 2023","Sat Jan 14 23:28:42 GMT 2023","824","","sample-app/functional/negative.cases/username.empty.test.ts","","","","demonstrate error when login is empty",""
"passed","Sat Jan 14 23:28:42 GMT 2023","Sat Jan 14 23:28:42 GMT 2023","775","","sample-app/ui/all.elements.visible.test.ts","On page are visible:","","","description",""
"passed","Sat Jan 14 23:28:46 GMT 2023","Sat Jan 14 23:28:52 GMT 2023","6005","","specs.ui-testing-playground/wait.for.load.page.test.ts","","","","waiting for a page to load",""
"passed","Sat Jan 14 23:28:42 GMT 2023","Sat Jan 14 23:28:43 GMT 2023","767","","specs.ui-testing-playground/check.button.innerText.test.ts","","","","the addToCart name is changing",""
"passed","Sat Jan 14 23:28:39 GMT 2023","Sat Jan 14 23:28:40 GMT 2023","1288","","sample-app/functional/login.positive.test.ts","","","","login with correct login and password",""
"passed","Sat Jan 14 23:28:43 GMT 2023","Sat Jan 14 23:28:44 GMT 2023","679","","specs.ui-testing-playground/click.count.test.ts","","","","click count increased",""
"passed","Sat Jan 14 23:28:42 GMT 2023","Sat Jan 14 23:28:43 GMT 2023","667","","sample-app/ui/all.elements.visible.test.ts","On page are visible:","","","login status",""
"passed","Sat Jan 14 23:28:41 GMT 2023","Sat Jan 14 23:28:42 GMT 2023","642","","sample-app/ui/all.elements.visible.test.ts","On page are visible:","","","h3 tag",""
"passed","Sat Jan 14 23:28:40 GMT 2023","Sat Jan 14 23:28:41 GMT 2023","810","","sample-app/functional/negative.cases/password.empty.test.ts","","","","demonstrate error when password is empty",""
"passed","Sat Jan 14 23:28:44 GMT 2023","Sat Jan 14 23:28:44 GMT 2023","583","","sample-app/ui/all.elements.visible.test.ts","On page are visible:","","","[name=""Password""] input",""
"passed","Sat Jan 14 23:28:44 GMT 2023","Sat Jan 14 23:28:45 GMT 2023","565","","specs.ui-testing-playground/find.column.after.reload.test.ts","","","","value of cpu in table that each reload renders equals to text",""
"passed","Sat Jan 14 23:28:39 GMT 2023","Sat Jan 14 23:28:40 GMT 2023","1087","","sample-app/functional/negative.cases/all.fields.empty.test.ts","","","","demonstration warning when all fields are empty",""
